Nama_Bahan,Energi (kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),BDD ( 100% ),Mentahan / Olahan,Kelompok Makanan,Jenis Makanan,Tipe Pokok
"Alpukat, segar",85,0.9,6.5,7.7,0.0,61,Tunggal,Buah,Buah,
"Anggur hutan, segar",30,0.5,0.2,6.8,1.2,100,Tunggal,Buah,Buah,
"Apel malang, segar",57,0.5,0.4,12.8,0.8,88,Tunggal,Buah,Buah,
"Apel, segar",58,0.3,0.4,14.9,2.6,88,Tunggal,Buah,Buah,
"Arbai, segar",37,0.8,0.5,8.3,0.0,96,Tunggal,Buah,Buah,
Barongko,159,3.1,5.8,23.5,0.0,100,Olahan,Buah,Lain-lain,
"Belimbing, segar",36,0.4,0.4,8.8,3.3,86,Tunggal,Buah,Buah,
"Biwah, segar",51,0.3,0.1,12.1,0.7,66,Tunggal,Buah,Buah,
"Blewah, segar",34,0.8,0.2,8.2,0.9,-,Tunggal,Buah,Buah,
"Buah atung, segar",23,0.8,0.2,5.2,0.0,80,Tunggal,Buah,Buah,
"Buah kelenting, segar",110,1.4,2.1,21.4,0.0,77,Tunggal,Buah,Buah,
"Buah kom, segar",264,4.0,1.1,59.6,9.0,100,Tunggal,Buah,Buah,
"Buah mentega (Bisbul), segar",39,0.7,0.2,9.7,2.0,50,Tunggal,Buah,Buah,
"Buah Naga Merah, segar",71,1.7,3.1,9.1,3.2,67,Tunggal,Buah,Buah,
"Buah Naga Putih, segar",56,0.8,1.0,10.9,3.2,74,Tunggal,Buah,Buah,
"Buah negri, segar",55,1.2,0.1,12.2,5.2,48,Tunggal,Buah,Buah,
"Buah nona, segar",101,1.7,0.6,25.2,2.8,58,Tunggal,Buah,Buah,
"Buah rotan, segar",78,0.6,0.3,18.2,0.0,-,Tunggal,Buah,Buah,
"Buah rukam, segar",113,0.8,0.3,26.8,7.7,100,Tunggal,Buah,Buah,
"Buah ruruhi, segar",29,2.1,0.7,3.6,2.6,82,Tunggal,Buah,Buah,
"Buah tuppa, segar",67,0.4,0.2,15.9,0.0,-,Tunggal,Buah,Buah,
"Carica papaya, segar",24,1.9,0.2,3.7,1.0,60,Tunggal,Buah,Buah,
"Cempedak, segar",116,3.0,0.4,28.6,3.4,30,Tunggal,Buah,Buah,
Dodol nanas,338,1.5,1.2,80.3,0.0,100,Olahan,Buah,Lain-lain,
"Duku, segar",63,1.0,0.2,16.1,4.3,64,Tunggal,Buah,Buah,
"Durian, segar",134,2.5,3.0,28.0,3.5,22,Tunggal,Buah,Buah,
"Duwet, segar",80,0.5,0.6,18.2,0.9,67,Tunggal,Buah,Buah,
"Embacang, segar",98,1.4,0.2,25.4,1.9,65,Tunggal,Buah,Buah,
"Encung asam, segar",122,3.5,4.5,17.5,9.3,98,Tunggal,Buah,Buah,
"Erbis, segar",70,0.6,0.0,18.9,7.7,33,Tunggal,Buah,Buah,
Gandaria masak,68,0.7,0.1,18.0,2.2,70,Tunggal,Buah,Buah,
"Gatep, segar",191,4.5,1.5,39.7,13.4,100,Tunggal,Buah,Buah,
Getuk pisang,144,1.1,0.4,34.1,0.4,100,Olahan,Buah,Lain-lain,
"Jambu air, segar",46,0.6,0.2,11.8,2.1,90,Tunggal,Buah,Buah,
Jambu biji,49,0.9,0.3,12.2,2.4,82,Tunggal,Buah,Buah,
Jambu biji putih tidak berbiji,61,0.9,0.3,15.4,4.5,82,Tunggal,Buah,Buah,
"Jambu bol, segar",49,2.3,0.2,9.6,3.5,67,Tunggal,Buah,Buah,
"Jambu monyet, segar",64,0.7,0.6,15.8,1.2,90,Tunggal,Buah,Buah,
"Jeruk bali, segar",48,0.6,0.2,12.4,0.8,62,Tunggal,Buah,Buah,
"Jeruk banjar, segar",61,0.8,0.2,14.1,0.0,72,Tunggal,Buah,Buah,
Jeruk garut-keprok,44,0.8,0.3,10.9,1.6,71,Tunggal,Buah,Buah,
"Jeruk Kalamansi, segar",39,0.3,0.3,8.9,2.3,100,Tunggal,Buah,Buah,
"Jeruk manis, segar",45,0.9,0.2,11.2,1.4,72,Tunggal,Buah,Buah,
"Jeruk nipis, segar",44,0.5,0.2,10.0,0.4,76,Tunggal,Buah,Buah,
"Jeruk ragi, segar",49,0.7,0.2,11.1,0.5,59,Tunggal,Buah,Buah,
"Kawista, segar",120,3.5,2.5,20.8,4.6,72,Tunggal,Buah,Buah,
"Kedondong masak, segar",46,1.0,0.1,10.3,2.6,58,Tunggal,Buah,Buah,
"Kedondong, segar",47,0.5,0.2,10.4,2.7,58,Tunggal,Buah,Buah,
"Kelapa hutan, kering",623,2.0,52.1,36.5,15.3,-,Tunggal,Buah,Buah,
"Kelapa muda, daging, segar",68,1.0,0.9,14.0,0.0,53,Tunggal,Buah,Buah,
"Kemang, segar",48,1.0,0.2,11.9,1.7,65,Tunggal,Buah,Buah,
Keripik lampung,485,1.7,22.2,69.7,0.6,100,Olahan,Buah,Lain-lain,
"Kesemek, segar",78,0.8,0.4,20.0,0.6,97,Tunggal,Buah,Buah,
"Kokosan, segar",86,1.6,0.2,13.0,1.4,64,Tunggal,Buah,Buah,
"Kranji, segar",315,2.1,1.4,73.5,0.0,31,Tunggal,Buah,Buah,
"Langsat, segar",56,0.9,0.2,14.3,1.4,64,Tunggal,Buah,Buah,
Ledre pisang,405,4.8,5.1,84.9,0.4,100,Olahan,Buah,Lain-lain,
"Lemon, segar",34,0.5,0.8,6.2,0.1,100,Tunggal,Buah,Buah,
Lempog durian,320,3.5,5.7,63.7,4.9,100,Olahan,Buah,Lain-lain,
Loka anjoro,163,1.1,4.3,30.0,0.0,100,Olahan,Buah,Lain-lain,
"Lontar, segar",27,0.4,0.2,6.0,1.6,79,Tunggal,Buah,Buah,
"Mangga benggala, segar",63,2.4,0.4,12.4,5.8,65,Tunggal,Buah,Buah,
"Mangga gedung, segar",44,0.7,0.2,11.2,1.6,65,Tunggal,Buah,Buah,
"Mangga golek, segar",63,0.5,0.2,16.7,2.3,65,Tunggal,Buah,Buah,
"Mangga harumanis, segar",46,0.4,0.2,11.9,1.7,65,Tunggal,Buah,Buah,
"Mangga indramayu, segar",72,0.8,0.2,18.7,2.5,65,Tunggal,Buah,Buah,
"Mangga kopek, segar",56,0.4,0.2,14.6,2.0,65,Tunggal,Buah,Buah,
"Mangga kwini, segar",86,0.7,0.5,19.8,6.5,65,Tunggal,Buah,Buah,
"Mangga manalagi, segar",133,1.0,0.1,32.1,11.8,65,Tunggal,Buah,Buah,
"Mangga muda, segar",59,0.5,0.4,15.1,0.0,73,Tunggal,Buah,Buah,
"Mangga, segar",52,0.7,0.0,12.3,1.6,65,Tunggal,Buah,Buah,
"Manggis, segar",63,0.6,0.6,15.6,1.5,29,Tunggal,Buah,Buah,
"Markisa, segar",144,3.5,1.2,29.8,11.4,48,Tunggal,Buah,Buah,
"Matoa, segar",90,1.2,0.1,21.1,0.5,40,Tunggal,Buah,Buah,
"Melon, segar",37,0.6,0.4,7.8,1.0,58,Tunggal,Buah,Buah,
"Menteng, segar",65,1.7,0.3,16.1,0.0,64,Tunggal,Buah,Buah,
"Mentimun Suri, segar",16,1.3,0.0,2.1,0.9,-,Tunggal,Buah,Buah,
"Nanas palembang, segar",58,0.7,0.2,13.3,1.6,53,Tunggal,Buah,Buah,
"Nanas, segar",40,0.6,0.3,9.9,0.6,53,Tunggal,Buah,Buah,
"Nangka masak pohon, segar",106,1.2,0.3,27.6,3.7,28,Tunggal,Buah,Buah,
"Pala, daging, segar",42,0.3,0.2,10.9,0.5,30,Tunggal,Buah,Lain-lain,
"Pepaya, segar",46,0.5,12.0,12.2,1.6,75,Tunggal,Buah,Buah,
"Pisang ambon, segar",108,1.0,0.8,24.3,1.9,75,Tunggal,Buah,Buah,
"Pisang angleng (pisang ampyang), segar",68,1.3,0.2,17.2,0.8,75,Tunggal,Buah,Buah,
"Pisang ayam, segar",120,1.1,0.2,26.8,4.1,75,Tunggal,Buah,Buah,
"Pisang gapi, segar",127,2.1,0.3,31.1,11.7,75,Tunggal,Buah,Buah,
"Pisang goroho, segar",115,1.9,0.2,27.9,4.6,75,Tunggal,Buah,Buah,
"Pisang hijau, segar",117,2.0,0.3,28.9,0.4,72,Tunggal,Buah,Buah,
"Pisang kayu, segar",100,1.4,0.5,23.6,2.6,75,Tunggal,Buah,Buah,
"Pisang kepok, segar",109,0.8,0.5,26.3,5.7,75,Tunggal,Buah,Buah,
"Pisang ketip, segar",145,1.1,0.3,34.5,6.6,75,Tunggal,Buah,Buah,
"Pisang kidang, segar",96,1.0,0.2,22.5,0.6,70,Tunggal,Buah,Buah,
"Pisang lampung, segar",99,1.3,0.2,25.6,4.3,75,Tunggal,Buah,Buah,
"Pisang mas bali ampenan, segar",92,1.4,0.2,21.0,3.7,75,Tunggal,Buah,Buah,
"Pisang mas bali kopang, segar",127,1.4,0.2,31.8,3.7,75,Tunggal,Buah,Buah,
"Pisang mas, segar",127,1.4,0.2,33.6,1.4,85,Tunggal,Buah,Buah,
"Pisang raja sereh, segar",108,1.3,0.3,28.2,0.7,86,Tunggal,Buah,Buah,
"Pisang raja, segar",120,1.2,0.2,31.8,5.3,70,Tunggal,Buah,Buah,
"Pisang rotan, segar",98,1.3,1.2,20.5,1.0,56,Tunggal,Buah,Buah,
"Pisang talas, segar",113,1.2,0.2,26.7,4.4,75,Tunggal,Buah,Buah,
Pisang tujuh bulan,94,0.6,0.2,22.5,3.7,75,Tunggal,Buah,Buah,
"Pisang ua, segar",128,0.8,0.5,30.2,8.1,75,Tunggal,Buah,Buah,
"Pisang uli, segar",134,1.1,0.5,35.5,1.4,77,Tunggal,Buah,Buah,
"Purut, segar",76,4.1,1.1,15.2,1.7,34,Tunggal,Buah,Lain-lain,
"Rambutan binjai, segar",76,0.5,0.2,18.0,3.8,40,Tunggal,Buah,Buah,
"Rambutan, segar",69,0.9,0.1,18.1,0.8,40,Tunggal,Buah,Buah,
Rica-rica taipa,49,1.6,0.3,10.0,0.0,100,Olahan,Buah,Lain-lain,
Rujak aceh,82,0.4,0.3,19.7,2.4,100,Olahan,Buah,Buah,
"Salak bali, segar",57,0.5,0.1,13.6,1.3,93,Tunggal,Buah,Buah,
"Salak medan, segar",55,0.4,0.2,12.8,3.2,93,Tunggal,Buah,Buah,
"Salak pondoh, segar",87,0.8,0.4,20.1,0.0,59,Tunggal,Buah,Buah,
"Salak, segar",77,0.4,0.0,20.9,0.0,93,Tunggal,Buah,Buah,
Sale kesemek,296,1.1,0.6,71.4,0.0,100,Olahan,Buah,Lain-lain,
